State,Abbreviation,Total_EV,D_Nominee,D_Percentage,D_Votes,R_Nominee,R_Percentage,R_Votes,Year
Idaho,ID,4,ADLAI E. STEVENSON,38.8,105868,DWIGHT D. EISENHOWER,61.2,166979,1956
Wyoming,WY,3,ADLAI E. STEVENSON,39.9,49554,DWIGHT D. EISENHOWER,60.1,74573,1956
Oregon,OR,6,ADLAI E. STEVENSON,44.7,329204,DWIGHT D. EISENHOWER,55.2,406393,1956
Nevada,NV,3,ADLAI E. STEVENSON,42,40640,DWIGHT D. EISENHOWER,58,56049,1956
Colorado,CO,6,ADLAI E. STEVENSON,39.3,257997,DWIGHT D. EISENHOWER,60,394479,1956
California,CA,32,ADLAI E. STEVENSON,44.3,2420135,DWIGHT D. EISENHOWER,55.4,3027668,1956
Utah,UT,4,ADLAI E. STEVENSON,35.4,118364,DWIGHT D. EISENHOWER,64.6,215631,1956
Arizona,AZ,4,ADLAI E. STEVENSON,38.9,112880,DWIGHT D. EISENHOWER,61,176990,1956
New Mexico,NM,4,ADLAI E. STEVENSON,41.8,106098,DWIGHT D. EISENHOWER,57.8,146788,1956
Alabama,AL,11,JOHN F KENNEDY,56.39,"318,303",RICHARD NIXON,42.16,"237,981",1960
Alaska,AK,3,JOHN F KENNEDY,49.06,"29,809",RICHARD NIXON,50.94,"30,953",1960
Arizona,AZ,4,JOHN F KENNEDY,44.36,"176,781",RICHARD NIXON,55.52,"221,241",1960
Arkansas,AR,8,JOHN F KENNEDY,50.19,"215,049",RICHARD NIXON,43.06,"184,508",1960
California,CA,32,JOHN F KENNEDY,49.55,"3,224,099",RICHARD NIXON,50.1,"3,259,722",1960
Colorado,CO,6,JOHN F KENNEDY,44.91,"330,629",RICHARD NIXON,54.63,"402,242",1960
Connecticut,CT,8,JOHN F KENNEDY,53.73,"657,055",RICHARD NIXON,46.27,"565,813",1960
Delaware,DE,3,JOHN F KENNEDY,50.63,"99,590",RICHARD NIXON,49,"96,373",1960
Florida,FL,10,JOHN F KENNEDY,48.49,"748,700",RICHARD NIXON,51.51,"795,476",1960
Georgia,GA,12,JOHN F KENNEDY,62.54,"458,638",RICHARD NIXON,37.43,"274,472",1960
Hawaii,HI,3,JOHN F KENNEDY,50.03,"92,410",RICHARD NIXON,49.97,"92,295",1960
Idaho,ID,4,JOHN F KENNEDY,46.22,"138,853",RICHARD NIXON,53.78,"161,597",1960
Illinois,IL,27,JOHN F KENNEDY,49.98,"2,377,846",RICHARD NIXON,49.8,"2,368,988",1960
Indiana,IN,13,JOHN F KENNEDY,44.6,"952,358",RICHARD NIXON,55.03,"1,175,120",1960
Iowa,IA,10,JOHN F KENNEDY,43.22,"550,565",RICHARD NIXON,56.71,"722,381",1960
Kansas,KS,8,JOHN F KENNEDY,39.1,"363,213",RICHARD NIXON,60.45,"561,474",1960
Kentucky,KY,10,JOHN F KENNEDY,46.41,"521,855",RICHARD NIXON,53.59,"602,607",1960
Louisiana,LA,10,JOHN F KENNEDY,50.42,"407,339",RICHARD NIXON,28.59,"230,980",1960
Maine,ME,5,JOHN F KENNEDY,42.95,"181,159",RICHARD NIXON,57.05,"240,608",1960
Maryland,MD,9,JOHN F KENNEDY,53.61,"565,808",RICHARD NIXON,46.39,"489,538",1960
Massachusetts,MA,16,JOHN F KENNEDY,60.22,"1,487,174",RICHARD NIXON,39.55,"976,750",1960
Michigan,MI,20,JOHN F KENNEDY,50.85,"1,687,269",RICHARD NIXON,48.84,"1,620,428",1960
Minnesota,MN,11,JOHN F KENNEDY,50.58,"779,933",RICHARD NIXON,49.16,"757,915",1960
Mississippi,MS,8,JOHN F KENNEDY,36.34,"108,362",RICHARD NIXON,24.67,"73,561",1960
Missouri,MO,13,JOHN F KENNEDY,50.26,"972,201",RICHARD NIXON,49.74,"962,221",1960
Montana,MT,4,JOHN F KENNEDY,48.6,"134,891",RICHARD NIXON,51.1,"141,841",1960
Nebraska,NE,6,JOHN F KENNEDY,37.93,"232,542",RICHARD NIXON,62.07,"380,553",1960
Nevada,NV,3,JOHN F KENNEDY,51.16,"54,880",RICHARD NIXON,48.84,"52,387",1960
New Hampshire,NH,4,JOHN F KENNEDY,46.58,"137,772",RICHARD NIXON,53.42,"157,989",1960
New Jersey,NJ,16,JOHN F KENNEDY,49.96,"1,385,415",RICHARD NIXON,49.16,"1,363,324",1960
New Mexico,NM,4,JOHN F KENNEDY,50.15,"156,027",RICHARD NIXON,49.41,"153,733",1960
New York,NY,45,JOHN F KENNEDY,52.53,"3,830,085",RICHARD NIXON,47.27,"3,446,419",1960
North Carolina,NC,14,JOHN F KENNEDY,52.11,"713,136",RICHARD NIXON,47.89,"655,420",1960
North Dakota,ND,4,JOHN F KENNEDY,44.52,"123,963",RICHARD NIXON,55.42,"154,310",1960
Ohio,OH,25,JOHN F KENNEDY,46.72,"1,944,248",RICHARD NIXON,53.28,"2,217,611",1960
Oklahoma,OK,8,JOHN F KENNEDY,40.98,"370,111",RICHARD NIXON,59.02,"533,039",1960
Oregon,OR,6,JOHN F KENNEDY,47.32,"367,402",RICHARD NIXON,52.56,"408,060",1960
Pennsylvania,PA,32,JOHN F KENNEDY,51.06,"2,556,282",RICHARD NIXON,48.74,"2,439,956",1960
Rhode Island,RI,4,JOHN F KENNEDY,63.63,"258,032",RICHARD NIXON,36.37,"147,502",1960
South Carolina,SC,8,JOHN F KENNEDY,51.24,"198,129",RICHARD NIXON,48.76,"188,558",1960
South Dakota,SD,4,JOHN F KENNEDY,41.79,"128,070",RICHARD NIXON,58.21,"178,417",1960
Tennessee,TN,11,JOHN F KENNEDY,45.77,"481,453",RICHARD NIXON,52.92,"556,577",1960
Texas,TX,24,JOHN F KENNEDY,50.52,"1,167,567",RICHARD NIXON,48.52,"1,121,310",1960
Utah,UT,4,JOHN F KENNEDY,45.17,"169,248",RICHARD NIXON,54.81,"205,361",1960
Vermont,VT,3,JOHN F KENNEDY,41.35,"69,186",RICHARD NIXON,58.65,"98,131",1960
Virginia,VA,12,JOHN F KENNEDY,46.97,"362,327",RICHARD NIXON,52.44,"404,521",1960
Washington,WA,9,JOHN F KENNEDY,48.27,"599,298",RICHARD NIXON,50.68,"629,273",1960
West Virginia,WV,8,JOHN F KENNEDY,52.73,"441,786",RICHARD NIXON,47.27,"395,995",1960
Wisconsin,WI,12,JOHN F KENNEDY,48.05,"830,805",RICHARD NIXON,51.77,"895,175",1960
Wyoming,WY,3,JOHN F KENNEDY,44.99,"63,331",RICHARD NIXON,55.01,"77,451",1960
Minnesota,MN,10,LYNDON B. JOHNSON,63.8,991117,BARRY M. GOLDWATER,36,559624,1964
Michigan,MI,21,LYNDON B. JOHNSON,66.7,2136615,BARRY M. GOLDWATER,33.1,1060152,1964
Illinois,IL,26,LYNDON B. JOHNSON,59.5,2796833,BARRY M. GOLDWATER,40.5,1905946,1964
Missouri,MO,12,LYNDON B. JOHNSON,64,1164344,BARRY M. GOLDWATER,36,653535,1964
North Dakota,ND,4,LYNDON B. JOHNSON,58,149784,BARRY M. GOLDWATER,41.9,108207,1964
Wisconsin,WI,12,LYNDON B. JOHNSON,62.1,1050424,BARRY M. GOLDWATER,37.7,638495,1964
South Dakota,SD,4,LYNDON B. JOHNSON,55.6,163010,BARRY M. GOLDWATER,44.4,130108,1964
Iowa,IA,9,LYNDON B. JOHNSON,61.9,733030,BARRY M. GOLDWATER,37.9,449148,1964
Indiana,IN,13,LYNDON B. JOHNSON,56,1170848,BARRY M. GOLDWATER,43.6,911118,1964
Ohio,OH,26,LYNDON B. JOHNSON,62.9,2498331,BARRY M. GOLDWATER,37.1,1470865,1964
Nebraska,NE,5,LYNDON B. JOHNSON,52.6,307307,BARRY M. GOLDWATER,47.4,276847,1964
Kansas,KS,7,LYNDON B. JOHNSON,54.1,464028,BARRY M. GOLDWATER,45.1,386579,1964
Dist. of Col.,DC,3,LYNDON B. JOHNSON,85.5,169796,BARRY M. GOLDWATER,14.5,28801,1964
New York,NY,43,LYNDON B. JOHNSON,68.6,4913102,BARRY M. GOLDWATER,31.3,2243559,1964
Rhode Island,RI,4,LYNDON B. JOHNSON,80.9,315463,BARRY M. GOLDWATER,19.1,74615,1964
Massachusetts,MA,14,LYNDON B. JOHNSON,76.2,1786422,BARRY M. GOLDWATER,23.4,549727,1964
Pennsylvania,PA,29,LYNDON B. JOHNSON,64.9,3130954,BARRY M. GOLDWATER,34.7,1673657,1964
New Jersey,NJ,17,LYNDON B. JOHNSON,65.6,1868231,BARRY M. GOLDWATER,33.9,964174,1964
Connecticut,CT,8,LYNDON B. JOHNSON,67.8,826269,BARRY M. GOLDWATER,32.1,390996,1964
Delaware,DE,3,LYNDON B. JOHNSON,60.9,122704,BARRY M. GOLDWATER,38.8,78078,1964
Maine,ME,4,LYNDON B. JOHNSON,68.8,262264,BARRY M. GOLDWATER,31.2,118701,1964
Vermont,VT,3,LYNDON B. JOHNSON,66.3,108127,BARRY M. GOLDWATER,33.7,54942,1964
New Hampshire,NH,4,LYNDON B. JOHNSON,63.9,184064,BARRY M. GOLDWATER,36.1,104029,1964
West Virginia,WV,7,LYNDON B. JOHNSON,67.9,538087,BARRY M. GOLDWATER,32.1,253953,1964
Maryland,MD,10,LYNDON B. JOHNSON,65.5,730912,BARRY M. GOLDWATER,34.5,385495,1964
Arkansas,AR,6,LYNDON B. JOHNSON,56.1,314197,BARRY M. GOLDWATER,43.4,243264,1964
North Carolina,NC,13,LYNDON B. JOHNSON,56.2,800139,BARRY M. GOLDWATER,43.8,624844,1964
Texas,TX,25,LYNDON B. JOHNSON,63.3,1663185,BARRY M. GOLDWATER,36.5,958566,1964
Kentucky,KY,9,LYNDON B. JOHNSON,64,669659,BARRY M. GOLDWATER,35.7,372977,1964
Virginia,VA,12,LYNDON B. JOHNSON,53.5,558038,BARRY M. GOLDWATER,46.2,481334,1964
Tennessee,TN,11,LYNDON B. JOHNSON,55.5,634947,BARRY M. GOLDWATER,44.5,508965,1964
Oklahoma,OK,8,LYNDON B. JOHNSON,55.7,519834,BARRY M. GOLDWATER,44.3,412665,1964
Florida,FL,14,LYNDON B. JOHNSON,51.1,948540,BARRY M. GOLDWATER,48.9,905941,1964
Nevada,NV,3,LYNDON B. JOHNSON,58.6,79339,BARRY M. GOLDWATER,41.4,56094,1964
New Mexico,NM,4,LYNDON B. JOHNSON,59,194015,BARRY M. GOLDWATER,40.4,132838,1964
Hawaii,HI,4,LYNDON B. JOHNSON,78.8,163249,BARRY M. GOLDWATER,21.2,44022,1964
Alaska,AK,3,LYNDON B. JOHNSON,65.9,44329,BARRY M. GOLDWATER,34.1,22930,1964
Washington,WA,9,LYNDON B. JOHNSON,62,779881,BARRY M. GOLDWATER,37.4,470366,1964
Montana,MT,4,LYNDON B. JOHNSON,58.9,164246,BARRY M. GOLDWATER,40.6,113032,1964
Idaho,ID,4,LYNDON B. JOHNSON,50.9,148920,BARRY M. GOLDWATER,49.1,143557,1964
Wyoming,WY,3,LYNDON B. JOHNSON,56.6,80718,BARRY M. GOLDWATER,43.4,61998,1964
Oregon,OR,6,LYNDON B. JOHNSON,63.7,501017,BARRY M. GOLDWATER,36,282779,1964
Colorado,CO,6,LYNDON B. JOHNSON,61.3,476024,BARRY M. GOLDWATER,38.2,296767,1964
California,CA,40,LYNDON B. JOHNSON,59.1,4171877,BARRY M. GOLDWATER,40.8,2879108,1964
Utah,UT,4,LYNDON B. JOHNSON,54.7,219628,BARRY M. GOLDWATER,45.3,181785,1964
South Carolina,SC,8,LYNDON B. JOHNSON,41.1,215723,BARRY M. GOLDWATER,58.9,309048,1964
Louisiana,LA,10,LYNDON B. JOHNSON,43.2,387068,BARRY M. GOLDWATER,56.8,509225,1964
Mississippi,MS,7,LYNDON B. JOHNSON,12.9,52618,BARRY M. GOLDWATER,87.1,356528,1964
Alabama,AL,10,LYNDON B. JOHNSON,30.5,210733,BARRY M. GOLDWATER,69.5,479085,1964
Georgia,GA,12,LYNDON B. JOHNSON,45.9,522556,BARRY M. GOLDWATER,54.1,616584,1964
Arizona,AZ,5,LYNDON B. JOHNSON,49.5,237753,BARRY M. GOLDWATER,50.4,242535,1964
Minnesota,MN,10,HUBERT HUMPHREY,54,857738,RICHARD NIXON,41.5,658643,1968
Michigan,MI,21,HUBERT HUMPHREY,48.2,1593082,RICHARD NIXON,41.5,1370665,1968
Maine,ME,4,HUBERT HUMPHREY,55.3,217312,RICHARD NIXON,43.1,169254,1968
New York,NY,43,HUBERT HUMPHREY,49.7,3378470,RICHARD NIXON,44.3,3007932,1968
Rhode Island,RI,4,HUBERT HUMPHREY,64,246518,RICHARD NIXON,31.8,122359,1968
Massachusetts,MA,14,HUBERT HUMPHREY,63,1469218,RICHARD NIXON,32.9,766844,1968
Pennsylvania,PA,29,HUBERT HUMPHREY,47.6,2259405,RICHARD NIXON,44,2090017,1968
Connecticut,CT,8,HUBERT HUMPHREY,49.5,621561,RICHARD NIXON,44.3,556721,1968
Dist. of Col.,DC,3,HUBERT HUMPHREY,81.8,139566,RICHARD NIXON,18.2,31012,1968
West Virginia,WV,7,HUBERT HUMPHREY,49.6,374091,RICHARD NIXON,40.8,307555,1968
Maryland,MD,10,HUBERT HUMPHREY,43.6,538310,RICHARD NIXON,41.9,517995,1968
Texas,TX,25,HUBERT HUMPHREY,41.1,1266804,RICHARD NIXON,39.9,1227844,1968
Washington,WA,9,HUBERT HUMPHREY,47.2,616037,RICHARD NIXON,45.1,588510,1968
Hawaii,HI,4,HUBERT HUMPHREY,59.8,141324,RICHARD NIXON,38.7,91425,1968
Arkansas,AR,6,HUBERT HUMPHREY,30.4,188228,RICHARD NIXON,30.8,190759,1968
Mississippi,MS,7,HUBERT HUMPHREY,23,150644,RICHARD NIXON,13.5,88516,1968
Louisiana,LA,10,HUBERT HUMPHREY,28.2,309615,RICHARD NIXON,23.5,257535,1968
Alabama,AL,10,HUBERT HUMPHREY,18.7,196579,RICHARD NIXON,14,146923,1968
Georgia,GA,12,HUBERT HUMPHREY,26.7,334440,RICHARD NIXON,30.4,380111,1968
North Dakota,ND,4,HUBERT HUMPHREY,38.2,94769,RICHARD NIXON,55.9,138669,1968
Wisconsin,WI,12,HUBERT HUMPHREY,44.3,748804,RICHARD NIXON,47.9,809997,1968
Illinois,IL,26,HUBERT HUMPHREY,44.2,2039814,RICHARD NIXON,47.1,2174774,1968
South Dakota,SD,4,HUBERT HUMPHREY,42,118023,RICHARD NIXON,53.3,149841,1968
Iowa,IA,9,HUBERT HUMPHREY,40.8,476699,RICHARD NIXON,53,619106,1968
Indiana,IN,13,HUBERT HUMPHREY,38,806659,RICHARD NIXON,50.3,1067885,1968
Ohio,OH,26,HUBERT HUMPHREY,42.9,1700586,RICHARD NIXON,45.2,1791014,1968
Nebraska,NE,5,HUBERT HUMPHREY,31.8,170784,RICHARD NIXON,59.8,321163,1968
Missouri,MO,12,HUBERT HUMPHREY,43.7,791444,RICHARD NIXON,44.9,811932,1968
Kansas,KS,7,HUBERT HUMPHREY,34.7,302996,RICHARD NIXON,54.8,478674,1968
Vermont,VT,3,HUBERT HUMPHREY,43.5,70255,RICHARD NIXON,52.8,85142,1968
New Hampshire,NH,4,HUBERT HUMPHREY,43.9,130589,RICHARD NIXON,52.1,154903,1968
New Jersey,NJ,17,HUBERT HUMPHREY,44,1264206,RICHARD NIXON,46.1,1325467,1968
Delaware,DE,3,HUBERT HUMPHREY,41.6,89194,RICHARD NIXON,45.1,96714,1968
Kentucky,KY,9,HUBERT HUMPHREY,37.6,397541,RICHARD NIXON,43.8,462411,1968
Virginia,VA,12,HUBERT HUMPHREY,32.5,442387,RICHARD NIXON,43.4,590319,1968
Tennessee,TN,11,HUBERT HUMPHREY,28.1,351233,RICHARD NIXON,37.8,472592,1968
North Carolina,NC,12,HUBERT HUMPHREY,29.2,464113,RICHARD NIXON,39.5,627192,1968
Oklahoma,OK,8,HUBERT HUMPHREY,32,301658,RICHARD NIXON,47.7,449697,1968
Florida,FL,14,HUBERT HUMPHREY,30.9,676794,RICHARD NIXON,40.5,886804,1968
South Carolina,SC,8,HUBERT HUMPHREY,29.6,197486,RICHARD NIXON,38.1,254062,1968
Alaska,AK,3,HUBERT HUMPHREY,42.6,35411,RICHARD NIXON,45.3,37600,1968
Montana,MT,4,HUBERT HUMPHREY,41.6,114117,RICHARD NIXON,50.6,138835,1968
Idaho,ID,4,HUBERT HUMPHREY,30.7,89273,RICHARD NIXON,56.8,165369,1968
Wyoming,WY,3,HUBERT HUMPHREY,35.5,45173,RICHARD NIXON,55.8,70927,1968
Oregon,OR,6,HUBERT HUMPHREY,43.8,358866,RICHARD NIXON,49.8,408433,1968
Nevada,NV,3,HUBERT HUMPHREY,39.3,60598,RICHARD NIXON,47.5,73188,1968
Colorado,CO,6,HUBERT HUMPHREY,41.3,335174,RICHARD NIXON,50.5,409345,1968
California,CA,40,HUBERT HUMPHREY,44.7,3244318,RICHARD NIXON,47.8,3467664,1968
Utah,UT,4,HUBERT HUMPHREY,31.1,156665,RICHARD NIXON,56.5,238728,1968
New Mexico,NM,4,HUBERT HUMPHREY,39.7,130081,RICHARD NIXON,51.8,169692,1968
Arizona,AZ,5,HUBERT HUMPHREY,35,170514,RICHARD NIXON,54.8,266721,1968ï»¿
Massachusetts,MA,14,GEORGE McGOVERN,54.2,1332540,RICHARD NIXON,45.2,1112078,1972
Dist. of Col.,DC,3,GEORGE McGOVERN,78.1,127627,RICHARD NIXON,21.6,35226,1972
Minnesota,MN,10,GEORGE McGOVERN,46.1,802346,RICHARD NIXON,51.6,898269,1972
Michigan,MI,21,GEORGE McGOVERN,41.8,1459435,RICHARD NIXON,56.2,1961721,1972
North Dakota,ND,3,GEORGE McGOVERN,35.8,100384,RICHARD NIXON,62.1,174109,1972
Wisconsin,WI,11,GEORGE McGOVERN,43.7,810174,RICHARD NIXON,53.4,989430,1972
Illinois,IL,26,GEORGE McGOVERN,40.5,1913472,RICHARD NIXON,59,2788179,1972
South Dakota,SD,4,GEORGE McGOVERN,45.5,139945,RICHARD NIXON,54.2,166476,1972
Iowa,IA,8,GEORGE McGOVERN,40.5,496206,RICHARD NIXON,57.6,706207,1972
Indiana,IN,13,GEORGE McGOVERN,33.3,708568,RICHARD NIXON,66.1,1405154,1972
Ohio,OH,25,GEORGE McGOVERN,38.1,1558889,RICHARD NIXON,59.6,2441827,1972
Nebraska,NE,5,GEORGE McGOVERN,29.5,169991,RICHARD NIXON,70.5,406298,1972
Missouri,MO,12,GEORGE McGOVERN,37.6,697147,RICHARD NIXON,62.2,1153852,1972
Kansas,KS,7,GEORGE McGOVERN,29.5,270287,RICHARD NIXON,67.7,619812,1972
Maine,ME,4,GEORGE McGOVERN,38.5,160584,RICHARD NIXON,61.5,256458,1972
New York,NY,41,GEORGE McGOVERN,41.2,2951084,RICHARD NIXON,58.5,4192778,1972
Rhode Island,RI,4,GEORGE McGOVERN,46.8,194645,RICHARD NIXON,53,220383,1972
Pennsylvania,PA,27,GEORGE McGOVERN,39.1,1796951,RICHARD NIXON,59.1,2714521,1972
Connecticut,CT,8,GEORGE McGOVERN,40.1,555498,RICHARD NIXON,58.6,810763,1972
Vermont,VT,3,GEORGE McGOVERN,36.5,68174,RICHARD NIXON,62.7,117149,1972
New Hampshire,NH,4,GEORGE McGOVERN,34.9,116435,RICHARD NIXON,64,213724,1972
New Jersey,NJ,17,GEORGE McGOVERN,36.8,1102211,RICHARD NIXON,61.6,1845502,1972
Delaware,DE,3,GEORGE McGOVERN,39.2,92283,RICHARD NIXON,59.6,140357,1972
West Virginia,WV,6,GEORGE McGOVERN,36.4,277435,RICHARD NIXON,63.6,484964,1972
Maryland,MD,10,GEORGE McGOVERN,37.4,505781,RICHARD NIXON,61.3,829305,1972
Texas,TX,26,GEORGE McGOVERN,33.3,1154289,RICHARD NIXON,66.2,2298896,1972
Arkansas,AR,6,GEORGE McGOVERN,30.7,199892,RICHARD NIXON,68.9,448541,1972
Louisiana,LA,10,GEORGE McGOVERN,28.4,298142,RICHARD NIXON,65.3,686852,1972
Mississippi,MS,7,GEORGE McGOVERN,19.6,126782,RICHARD NIXON,78.2,505125,1972
Alabama,AL,9,GEORGE McGOVERN,25.5,256923,RICHARD NIXON,72.4,728701,1972
Georgia,GA,12,GEORGE McGOVERN,24.6,289529,RICHARD NIXON,75,881496,1972
Kentucky,KY,9,GEORGE McGOVERN,34.8,371159,RICHARD NIXON,63.4,676446,1972
Virginia,VA,11,GEORGE McGOVERN,30.1,438887,RICHARD NIXON,67.8,988493,1972
Tennessee,TN,10,GEORGE McGOVERN,29.7,357293,RICHARD NIXON,67.7,813147,1972
North Carolina,NC,13,GEORGE McGOVERN,28.9,438705,RICHARD NIXON,69.5,1054889,1972
South Carolina,SC,8,GEORGE McGOVERN,27.7,186824,RICHARD NIXON,70.8,477044,1972
Oklahoma,OK,8,GEORGE McGOVERN,24,247147,RICHARD NIXON,73.7,759025,1972
Florida,FL,17,GEORGE McGOVERN,27.8,718117,RICHARD NIXON,71.9,1857759,1972
Washington,WA,9,GEORGE McGOVERN,38.6,568334,RICHARD NIXON,56.9,837135,1972
Hawaii,HI,4,GEORGE McGOVERN,37.5,101409,RICHARD NIXON,62.5,168865,1972
Alaska,AK,3,GEORGE McGOVERN,34.6,32967,RICHARD NIXON,58.1,55349,1972
Montana,MT,4,GEORGE McGOVERN,37.8,120197,RICHARD NIXON,57.9,183976,1972
Idaho,ID,4,GEORGE McGOVERN,26,80826,RICHARD NIXON,64.2,199384,1972
Wyoming,WY,3,GEORGE McGOVERN,30.5,44358,RICHARD NIXON,69,100464,1972
Oregon,OR,6,GEORGE McGOVERN,42.3,392760,RICHARD NIXON,52.4,486686,1972
Nevada,NV,3,GEORGE McGOVERN,36.3,66016,RICHARD NIXON,63.7,115750,1972
Colorado,CO,7,GEORGE McGOVERN,34.6,329980,RICHARD NIXON,62.6,597189,1972
California,CA,45,GEORGE McGOVERN,41.5,3475847,RICHARD NIXON,55,4602096,1972
Utah,UT,4,GEORGE McGOVERN,26.4,126284,RICHARD NIXON,67.6,323643,1972
Arizona,AZ,6,GEORGE McGOVERN,31.9,198540,RICHARD NIXON,64.7,402812,1972
New Mexico,NM,4,GEORGE McGOVERN,36.5,141084,RICHARD NIXON,61,235606,1972
Minnesota,MN,10,JIMMY CARTER,54.9,1070440,GERALD R. FORD,42,819395,1976
Wisconsin,WI,11,JIMMY CARTER,49.4,1040232,GERALD R. FORD,47.8,1004987,1976
Ohio,OH,25,JIMMY CARTER,48.9,2011621,GERALD R. FORD,48.7,2000505,1976
Missouri,MO,12,JIMMY CARTER,51.1,998387,GERALD R. FORD,47.5,927443,1976
Massachusetts,MA,14,JIMMY CARTER,56.1,1429475,GERALD R. FORD,40.4,1030276,1976
Dist. of Col.,DC,3,JIMMY CARTER,81.6,137818,GERALD R. FORD,16.5,27873,1976
New York,NY,41,JIMMY CARTER,51.9,3389558,GERALD R. FORD,47.5,3100791,1976
Rhode Island,RI,4,JIMMY CARTER,55.4,227636,GERALD R. FORD,44.1,181249,1976
Pennsylvania,PA,27,JIMMY CARTER,50.4,2328677,GERALD R. FORD,47.7,2205604,1976
Delaware,DE,3,JIMMY CARTER,52,122596,GERALD R. FORD,46.6,109831,1976
Kentucky,KY,9,JIMMY CARTER,52.8,615717,GERALD R. FORD,45.6,531852,1976
West Virginia,WV,6,JIMMY CARTER,58,435914,GERALD R. FORD,41.9,314760,1976
Maryland,MD,10,JIMMY CARTER,52.8,759612,GERALD R. FORD,46.7,672661,1976
Arkansas,AR,6,JIMMY CARTER,65,498604,GERALD R. FORD,34.9,267903,1976
Tennessee,TN,10,JIMMY CARTER,55.9,825879,GERALD R. FORD,42.9,633969,1976
North Carolina,NC,13,JIMMY CARTER,55.2,927365,GERALD R. FORD,44.2,741960,1976
South Carolina,SC,8,JIMMY CARTER,56.2,450807,GERALD R. FORD,43.1,346149,1976
Louisiana,LA,10,JIMMY CARTER,51.7,661365,GERALD R. FORD,46,587446,1976
Mississippi,MS,7,JIMMY CARTER,49.6,381309,GERALD R. FORD,47.7,366846,1976
Alabama,AL,9,JIMMY CARTER,55.7,659170,GERALD R. FORD,42.6,504070,1976
Georgia,GA,12,JIMMY CARTER,66.7,979409,GERALD R. FORD,33,483743,1976
Texas,TX,26,JIMMY CARTER,51.1,2082319,GERALD R. FORD,48,1953300,1976
Florida,FL,17,JIMMY CARTER,51.9,1636000,GERALD R. FORD,46.6,1469531,1976
Hawaii,HI,4,JIMMY CARTER,50.6,147375,GERALD R. FORD,48.1,140003,1976
North Dakota,ND,3,JIMMY CARTER,45.8,136078,GERALD R. FORD,51.6,153470,1976
Michigan,MI,21,JIMMY CARTER,46.4,1696714,GERALD R. FORD,51.8,1893742,1976
Illinois,IL,26,JIMMY CARTER,48.1,2271295,GERALD R. FORD,50.1,2364269,1976
South Dakota,SD,4,JIMMY CARTER,48.9,147068,GERALD R. FORD,50.4,151505,1976
Iowa,IA,8,JIMMY CARTER,48.5,619931,GERALD R. FORD,49.5,632863,1976
Indiana,IN,13,JIMMY CARTER,45.7,1014714,GERALD R. FORD,53.3,1183958,1976
Nebraska,NE,5,JIMMY CARTER,38.5,233692,GERALD R. FORD,59.2,359705,1976
Kansas,KS,7,JIMMY CARTER,44.9,430421,GERALD R. FORD,52.5,502752,1976
Maine,ME,4,JIMMY CARTER,48.1,232279,GERALD R. FORD,48.9,236320,1976
