State,Abbreviation,Total_EV,D_Nominee,D_Percentage,D_Votes,R_Nominee,R_Percentage,R_Votes,Year
South Carolina,SC,8,BILL CLINTON,44,506283,ROBERT DOLEÂ ,49.8,573458,1996
Oklahoma,OK,8,BILL CLINTON,40.4,488105,ROBERT DOLEÂ ,48.3,582315,1996
Mississippi,MS,7,BILL CLINTON,44.1,394022,ROBERT DOLEÂ ,49.2,439838,1996
Alabama,AL,9,BILL CLINTON,43.2,662165,ROBERT DOLEÂ ,50.1,769044,1996
Texas,TX,32,BILL CLINTON,43.8,2459683,ROBERT DOLEÂ ,48.8,2736167,1996
Montana,MT,3,BILL CLINTON,41.3,167922,ROBERT DOLEÂ ,44.1,179652,1996
Colorado,CO,8,BILL CLINTON,44.4,671152,ROBERT DOLEÂ ,45.8,691848,1996
Alaska,AK,3,BILL CLINTON,33.3,80380,ROBERT DOLEÂ ,50.8,122746,1996
Idaho,ID,4,BILL CLINTON,33.6,165443,ROBERT DOLEÂ ,52.2,256595,1996
Wyoming,WY,3,BILL CLINTON,36.8,77934,ROBERT DOLEÂ ,49.8,105388,1996
Utah,UT,5,BILL CLINTON,33.3,221633,ROBERT DOLEÂ ,54.4,361911,1996
Minnesota,MN,10,AL GORE,47.9,1168266,GEORGE W. BUSH,45.5,1109659,2000
Wisconsin,WI,11,AL GORE,47.8,1242987,GEORGE W. BUSH,47.6,1237279,2000
Michigan,MI,18,AL GORE,51.3,2170418,GEORGE W. BUSH,46.1,1953139,2000
Illinois,IL,22,AL GORE,54.6,2589026,GEORGE W. BUSH,42.6,2019421,2000
Iowa,IA,7,AL GORE,48.5,638517,GEORGE W. BUSH,48.2,634373,2000
Maine,ME,4,AL GORE,49.1,319951,GEORGE W. BUSH,44,286616,2000
Vermont,VT,3,AL GORE,50.6,149022,GEORGE W. BUSH,40.7,119775,2000
New York,NY,33,AL GORE,60.2,4107697,GEORGE W. BUSH,35.2,2403374,2000
Rhode Island,RI,4,AL GORE,61,249508,GEORGE W. BUSH,31.9,130555,2000
Massachusetts,MA,12,AL GORE,59.8,1616487,GEORGE W. BUSH,32.5,878502,2000
Pennsylvania,PA,23,AL GORE,50.6,2485967,GEORGE W. BUSH,46.4,2281127,2000
New Jersey,NJ,15,AL GORE,56.1,1788850,GEORGE W. BUSH,40.3,1284173,2000
Connecticut,CT,8,AL GORE,55.9,816015,GEORGE W. BUSH,38.4,561094,2000
Dist. of Col.,DC,2,AL GORE,85.2,171923,GEORGE W. BUSH,9,18073,2000
Delaware,DE,3,AL GORE,55,180068,GEORGE W. BUSH,41.9,137288,2000
Maryland,MD,10,AL GORE,56.5,1140782,GEORGE W. BUSH,40.3,813797,2000
Washington,WA,11,AL GORE,50.2,1247652,GEORGE W. BUSH,44.6,1108864,2000
Oregon,OR,7,AL GORE,47,720342,GEORGE W. BUSH,46.5,713577,2000
California,CA,54,AL GORE,53.4,5861203,GEORGE W. BUSH,41.7,4567429,2000
New Mexico,NM,5,AL GORE,47.9,286783,GEORGE W. BUSH,47.8,286417,2000
Hawaii,HI,4,AL GORE,55.8,205286,GEORGE W. BUSH,37.5,137845,2000
Ohio,OH,21,AL GORE,46.4,2183628,GEORGE W. BUSH,50,2350363,2000
Missouri,MO,11,AL GORE,47.1,1111138,GEORGE W. BUSH,50.4,1189924,2000
North Dakota,ND,3,AL GORE,33.1,95284,GEORGE W. BUSH,60.7,174852,2000
South Dakota,SD,3,AL GORE,37.6,118804,GEORGE W. BUSH,60.3,190700,2000
Indiana,IN,12,AL GORE,41,901980,GEORGE W. BUSH,56.6,1245836,2000
Nebraska,NE,5,AL GORE,33.3,231780,GEORGE W. BUSH,62.2,433862,2000
Kansas,KS,6,AL GORE,37.2,399276,GEORGE W. BUSH,58,622332,2000
New Hampshire,NH,4,AL GORE,46.8,266348,GEORGE W. BUSH,48.1,273559,2000
Kentucky,KY,8,AL GORE,41.4,638898,GEORGE W. BUSH,56.5,872492,2000
West Virginia,WV,5,AL GORE,45.6,295497,GEORGE W. BUSH,51.9,336475,2000
Arkansas,AR,6,AL GORE,45.9,422768,GEORGE W. BUSH,51.3,472940,2000
Tennessee,TN,11,AL GORE,47.3,981720,GEORGE W. BUSH,51.1,1061949,2000
Louisiana,LA,9,AL GORE,44.9,792344,GEORGE W. BUSH,52.6,927871,2000
Florida,FL,25,AL GORE,48.8,2912253,GEORGE W. BUSH,48.8,2912790,2000
Virginia,VA,13,AL GORE,44.4,1217290,GEORGE W. BUSH,52.5,1437490,2000
North Carolina,NC,14,AL GORE,43.2,1257692,GEORGE W. BUSH,56,1631163,2000
South Carolina,SC,8,AL GORE,40.9,565561,GEORGE W. BUSH,56.8,785937,2000
Oklahoma,OK,8,AL GORE,38.4,474276,GEORGE W. BUSH,60.3,744337,2000
Mississippi,MS,7,AL GORE,40.7,404614,GEORGE W. BUSH,57.6,572844,2000
Alabama,AL,9,AL GORE,41.6,692611,GEORGE W. BUSH,56.5,941173,2000
Georgia,GA,13,AL GORE,43,1116230,GEORGE W. BUSH,54.7,1419720,2000
Texas,TX,32,AL GORE,38,2433746,GEORGE W. BUSH,59.3,3799639,2000
Nevada,NV,4,AL GORE,46,279978,GEORGE W. BUSH,49.5,301575,2000
Arizona,AZ,8,AL GORE,44.7,685341,GEORGE W. BUSH,51,781652,2000
Alaska,AK,3,AL GORE,27.7,79004,GEORGE W. BUSH,58.6,167398,2000
Montana,MT,3,AL GORE,33.4,137126,GEORGE W. BUSH,58.4,240178,2000
Idaho,ID,4,AL GORE,27.6,138637,GEORGE W. BUSH,67.2,336937,2000
Wyoming,WY,3,AL GORE,27.7,60481,GEORGE W. BUSH,67.8,147947,2000
Colorado,CO,8,AL GORE,42.4,738227,GEORGE W. BUSH,50.8,883748,2000
Utah,UT,5,AL GORE,26.3,203053,GEORGE W. BUSH,66.8,515096,2000
Minnesota,MN,9,JOHN KERRY,51.1,1445014,GEORGE W. BUSH,47.6,1346695,2004
Wisconsin,WI,10,JOHN KERRY,49.7,1489504,GEORGE W. BUSH,49.3,1478120,2004
Michigan,MI,17,JOHN KERRY,51.2,2479183,GEORGE W. BUSH,47.8,2313746,2004
Illinois,IL,21,JOHN KERRY,54.8,2891550,GEORGE W. BUSH,44.5,2345946,2004
Maine,ME,4,JOHN KERRY,53.6,396842,GEORGE W. BUSH,44.6,330201,2004
Vermont,VT,3,JOHN KERRY,58.9,184067,GEORGE W. BUSH,38.8,121180,2004
New York,NY,31,JOHN KERRY,58.4,4314280,GEORGE W. BUSH,40.1,2962567,2004
Rhode Island,RI,4,JOHN KERRY,59.4,259765,GEORGE W. BUSH,38.7,169046,2004
Massachusetts,MA,12,JOHN KERRY,61.9,1803800,GEORGE W. BUSH,36.8,1071109,2004
Pennsylvania,PA,21,JOHN KERRY,50.9,2938095,GEORGE W. BUSH,48.4,2793847,2004
New Jersey,NJ,15,JOHN KERRY,52.9,1911430,GEORGE W. BUSH,46.2,1670003,2004
Connecticut,CT,7,JOHN KERRY,54.3,857488,GEORGE W. BUSH,43.9,693826,2004
Dist. of Col.,DC,3,JOHN KERRY,89.2,202970,GEORGE W. BUSH,9.3,21256,2004
Delaware,DE,3,JOHN KERRY,53.3,200152,GEORGE W. BUSH,45.8,171660,2004
New Hampshire,NH,4,JOHN KERRY,50.2,340511,GEORGE W. BUSH,48.9,331237,2004
Maryland,MD,10,JOHN KERRY,55.9,1334493,GEORGE W. BUSH,42.9,1024703,2004
Washington,WA,11,JOHN KERRY,52.8,1510201,GEORGE W. BUSH,45.6,1304894,2004
Oregon,OR,7,JOHN KERRY,51.3,943163,GEORGE W. BUSH,47.2,866831,2004
California,CA,55,JOHN KERRY,54.3,6745485,GEORGE W. BUSH,44.4,5509826,2004
Hawaii,HI,4,JOHN KERRY,54,231708,GEORGE W. BUSH,45.3,194191,2004
Iowa,IA,7,JOHN KERRY,49.2,741898,GEORGE W. BUSH,49.9,751957,2004
North Dakota,ND,3,JOHN KERRY,35.5,111052,GEORGE W. BUSH,62.9,196651,2004
South Dakota,SD,3,JOHN KERRY,38.4,149244,GEORGE W. BUSH,59.9,232584,2004
Indiana,IN,11,JOHN KERRY,39.3,969011,GEORGE W. BUSH,59.9,1479438,2004
Ohio,OH,20,JOHN KERRY,48.7,2741167,GEORGE W. BUSH,50.8,2859768,2004
Nebraska,NE,5,JOHN KERRY,32.7,254328,GEORGE W. BUSH,65.9,512814,2004
Missouri,MO,11,JOHN KERRY,46.1,1259171,GEORGE W. BUSH,53.3,1455713,2004
Kansas,KS,6,JOHN KERRY,36.6,434993,GEORGE W. BUSH,62,736456,2004
Kentucky,KY,8,JOHN KERRY,39.7,712733,GEORGE W. BUSH,59.5,1069439,2004
West Virginia,WV,5,JOHN KERRY,43.2,326541,GEORGE W. BUSH,56.1,423778,2004
Virginia,VA,13,JOHN KERRY,45.5,1454742,GEORGE W. BUSH,53.7,1716959,2004
Arkansas,AR,6,JOHN KERRY,44.5,469953,GEORGE W. BUSH,54.3,572898,2004
Tennessee,TN,11,JOHN KERRY,42.5,1036477,GEORGE W. BUSH,56.8,1384375,2004
North Carolina,NC,15,JOHN KERRY,43.6,1525849,GEORGE W. BUSH,56,1961166,2004
South Carolina,SC,8,JOHN KERRY,40.9,661699,GEORGE W. BUSH,58,937974,2004
Oklahoma,OK,7,JOHN KERRY,34.4,503966,GEORGE W. BUSH,65.6,959792,2004
Louisiana,LA,9,JOHN KERRY,42.2,820299,GEORGE W. BUSH,56.7,1102169,2004
Mississippi,MS,6,JOHN KERRY,39.8,458094,GEORGE W. BUSH,59.5,684981,2004
Alabama,AL,9,JOHN KERRY,36.8,693933,GEORGE W. BUSH,62.5,1176394,2004
Georgia,GA,15,JOHN KERRY,41.4,1366149,GEORGE W. BUSH,58,1914254,2004
Texas,TX,34,JOHN KERRY,38.2,2832704,GEORGE W. BUSH,61.1,4526917,2004
Florida,FL,27,JOHN KERRY,47.1,3583544,GEORGE W. BUSH,52.1,3964522,2004
New Mexico,NM,5,JOHN KERRY,49,370942,GEORGE W. BUSH,49.8,376930,2004
Alaska,AK,3,JOHN KERRY,35.5,111025,GEORGE W. BUSH,61.1,190889,2004
Montana,MT,3,JOHN KERRY,38.6,173710,GEORGE W. BUSH,59.1,266063,2004
Idaho,ID,4,JOHN KERRY,30.3,181098,GEORGE W. BUSH,68.4,409235,2004
Wyoming,WY,3,JOHN KERRY,29.1,70776,GEORGE W. BUSH,68.9,167629,2004
Nevada,NV,5,JOHN KERRY,47.9,397190,GEORGE W. BUSH,50.5,418690,2004
Colorado,CO,9,JOHN KERRY,47,1001732,GEORGE W. BUSH,51.7,1101255,2004
Utah,UT,5,JOHN KERRY,26,241199,GEORGE W. BUSH,71.5,663742,2004
Arizona,AZ,10,JOHN KERRY,44.4,893524,GEORGE W. BUSH,54.9,1104294,2004
Minnesota,MN,10,BARACK OBAMA,54.1,1573354,JOHN McCAIN,43.8,1275409,2008
Wisconsin,WI,10,BARACK OBAMA,56.2,1677211,JOHN McCAIN,42.3,1262393,2008
Michigan,MI,17,BARACK OBAMA,57.4,2872579,JOHN McCAIN,41,2048639,2008
Illinois,IL,21,BARACK OBAMA,61.9,3419673,JOHN McCAIN,36.8,2031527,2008
Iowa,IA,7,BARACK OBAMA,53.7,828940,JOHN McCAIN,44.2,682379,2008
Indiana,IN,11,BARACK OBAMA,49.9,1374039,JOHN McCAIN,48.9,1345648,2008
Ohio,OH,20,BARACK OBAMA,51.5,2933388,JOHN McCAIN,46.9,2674491,2008
Maine,ME,4,BARACK OBAMA,57.7,421923,JOHN McCAIN,40.4,295273,2008
Vermont,VT,3,BARACK OBAMA,67.5,219262,JOHN McCAIN,30.4,98974,2008
New Hampshire,NH,4,BARACK OBAMA,54.4,384826,JOHN McCAIN,44.7,316534,2008
New York,NY,31,BARACK OBAMA,62.8,4769700,JOHN McCAIN,36.1,2742298,2008
Rhode Island,RI,4,BARACK OBAMA,63.1,296571,JOHN McCAIN,35.2,165391,2008
Massachusetts,MA,12,BARACK OBAMA,61.8,1904097,JOHN McCAIN,36,1108854,2008
Pennsylvania,PA,21,BARACK OBAMA,54.3,3276363,JOHN McCAIN,44,2655885,2008
New Jersey,NJ,15,BARACK OBAMA,57.3,2215422,JOHN McCAIN,41.7,1613207,2008
Connecticut,CT,7,BARACK OBAMA,60.6,997772,JOHN McCAIN,38.2,629428,2008
Dist. of Col.,DC,3,BARACK OBAMA,92.5,245800,JOHN McCAIN,6.5,17367,2008
Delaware,DE,3,BARACK OBAMA,61.9,255459,JOHN McCAIN,36.9,152374,2008
Maryland,MD,10,BARACK OBAMA,61.9,1629467,JOHN McCAIN,36.5,959862,2008
Virginia,VA,13,BARACK OBAMA,52.6,1959532,JOHN McCAIN,46.3,1725005,2008
North Carolina,NC,15,BARACK OBAMA,49.7,2142651,JOHN McCAIN,49.4,2128474,2008
Florida,FL,27,BARACK OBAMA,51,4282074,JOHN McCAIN,48.2,4045624,2008
Washington,WA,11,BARACK OBAMA,57.7,1750848,JOHN McCAIN,40.5,1229216,2008
Oregon,OR,7,BARACK OBAMA,56.7,1037291,JOHN McCAIN,40.4,738475,2008
California,CA,55,BARACK OBAMA,61,8274473,JOHN McCAIN,37,5011781,2008
Hawaii,HI,4,BARACK OBAMA,71.8,325871,JOHN McCAIN,26.6,120566,2008
Nevada,NV,5,BARACK OBAMA,55.1,533736,JOHN McCAIN,42.7,412827,2008
Colorado,CO,9,BARACK OBAMA,53.7,1288576,JOHN McCAIN,44.7,1073589,2008
New Mexico,NM,5,BARACK OBAMA,56.9,472422,JOHN McCAIN,41.8,346832,2008
North Dakota,ND,3,BARACK OBAMA,44.6,141278,JOHN McCAIN,53.3,168601,2008
South Dakota,SD,3,BARACK OBAMA,44.7,170924,JOHN McCAIN,53.2,203054,2008
Nebraska,NE,4,BARACK OBAMA,41.6,333319,JOHN McCAIN,56.5,452979,2008
Missouri,MO,11,BARACK OBAMA,49.3,1441911,JOHN McCAIN,49.4,1445814,2008
Kansas,KS,6,BARACK OBAMA,41.7,514765,JOHN McCAIN,56.6,699655,2008
Kentucky,KY,8,BARACK OBAMA,41.2,751985,JOHN McCAIN,57.4,1048462,2008
West Virginia,WV,5,BARACK OBAMA,42.6,303857,JOHN McCAIN,55.7,397466,2008
Arkansas,AR,6,BARACK OBAMA,38.9,422310,JOHN McCAIN,58.7,638017,2008
Tennessee,TN,11,BARACK OBAMA,41.8,1087437,JOHN McCAIN,56.9,1479178,2008
South Carolina,SC,8,BARACK OBAMA,44.9,862449,JOHN McCAIN,53.9,1034896,2008
Oklahoma,OK,7,BARACK OBAMA,34.4,502496,JOHN McCAIN,65.6,960165,2008
Louisiana,LA,9,BARACK OBAMA,39.9,782989,JOHN McCAIN,58.6,1148275,2008
Mississippi,MS,6,BARACK OBAMA,43,554662,JOHN McCAIN,56.2,724597,2008
Alabama,AL,9,BARACK OBAMA,38.7,813479,JOHN McCAIN,60.3,1266546,2008
Georgia,GA,15,BARACK OBAMA,47,1844137,JOHN McCAIN,52.2,2048744,2008
Texas,TX,34,BARACK OBAMA,43.7,3528633,JOHN McCAIN,55.5,4479328,2008
Alaska,AK,3,BARACK OBAMA,37.9,123594,JOHN McCAIN,59.4,193841,2008
Montana,MT,3,BARACK OBAMA,47.3,231667,JOHN McCAIN,49.5,242763,2008
Idaho,ID,4,BARACK OBAMA,36.1,236440,JOHN McCAIN,61.5,403012,2008
Wyoming,WY,3,BARACK OBAMA,32.4,82868,JOHN McCAIN,64.4,164958,2008
Utah,UT,5,BARACK OBAMA,34.4,327670,JOHN McCAIN,62.6,596030,2008
Arizona,AZ,10,BARACK OBAMA,45.1,1034707,JOHN McCAIN,53.6,1230111,2008
Minnesota,MN,10,BARACK OBAMA,52.7,1546167,MITT ROMNEY,45,1320225,2012
Wisconsin,WI,10,BARACK OBAMA,52.9,1620985,MITT ROMNEY,46,1410966,2012
Michigan,MI,16,BARACK OBAMA,54.2,2564569,MITT ROMNEY,44.7,2115256,2012
Illinois,IL,20,BARACK OBAMA,57.6,3019512,MITT ROMNEY,40.7,2135216,2012
Iowa,IA,6,BARACK OBAMA,52,822544,MITT ROMNEY,46.2,730617,2012
Ohio,OH,18,BARACK OBAMA,50.7,2827621,MITT ROMNEY,47.7,2661407,2012
Maine,ME,4,BARACK OBAMA,56.3,401306,MITT ROMNEY,41,292276,2012
Vermont,VT,3,BARACK OBAMA,66.6,199239,MITT ROMNEY,31,92698,2012
New Hampshire,NH,4,BARACK OBAMA,52,369561,MITT ROMNEY,46.5,329918,2012
New York,NY,29,BARACK OBAMA,63.4,4471871,MITT ROMNEY,35.2,2485432,2012
Rhode Island,RI,4,BARACK OBAMA,62.7,279677,MITT ROMNEY,35.2,157204,2012
Massachusetts,MA,11,BARACK OBAMA,60.7,1921290,MITT ROMNEY,37.5,1188314,2012
Pennsylvania,PA,20,BARACK OBAMA,52.1,2990274,MITT ROMNEY,46.7,2680434,2012
New Jersey,NJ,14,BARACK OBAMA,58.3,2122786,MITT ROMNEY,40.6,1478088,2012
Connecticut,CT,7,BARACK OBAMA,58.1,905083,MITT ROMNEY,40.7,634892,2012
Dist. of Col.,DC,3,BARACK OBAMA,90.9,267070,MITT ROMNEY,7.3,21381,2012
Delaware,DE,3,BARACK OBAMA,58.6,242584,MITT ROMNEY,40,165484,2012
Maryland,MD,10,BARACK OBAMA,62,1677844,MITT ROMNEY,35.9,971869,2012
Virginia,VA,13,BARACK OBAMA,51.2,1971820,MITT ROMNEY,47.3,1822522,2012
Florida,FL,29,BARACK OBAMA,50,4237756,MITT ROMNEY,49.1,4163447,2012
Washington,WA,12,BARACK OBAMA,56.2,1755396,MITT ROMNEY,41.3,1290670,2012
Oregon,OR,7,BARACK OBAMA,54.2,970488,MITT ROMNEY,42.1,754175,2012
Nevada,NV,6,BARACK OBAMA,52.4,531373,MITT ROMNEY,45.7,463567,2012
Colorado,CO,9,BARACK OBAMA,51.5,1323101,MITT ROMNEY,46.1,1185243,2012
California,CA,55,BARACK OBAMA,60.2,7854285,MITT ROMNEY,37.1,4839958,2012
New Mexico,NM,5,BARACK OBAMA,53,415335,MITT ROMNEY,42.8,335788,2012
Hawaii,HI,4,BARACK OBAMA,70.5,306658,MITT ROMNEY,27.8,121015,2012
Indiana,IN,11,BARACK OBAMA,43.9,1152887,MITT ROMNEY,54.1,1420543,2012
North Dakota,ND,3,BARACK OBAMA,38.7,124966,MITT ROMNEY,58.3,188320,2012
South Dakota,SD,3,BARACK OBAMA,39.9,145039,MITT ROMNEY,57.9,210610,2012
Nebraska,NE,5,BARACK OBAMA,38,302081,MITT ROMNEY,59.8,475064,2012
Missouri,MO,10,BARACK OBAMA,44.4,1223796,MITT ROMNEY,53.8,1482440,2012
Kansas,KS,6,BARACK OBAMA,38,440726,MITT ROMNEY,59.7,692634,2012
North Carolina,NC,15,BARACK OBAMA,48.4,2178391,MITT ROMNEY,50.4,2270395,2012
Kentucky,KY,8,BARACK OBAMA,37.8,679370,MITT ROMNEY,60.5,1087190,2012
West Virginia,WV,5,BARACK OBAMA,35.5,238269,MITT ROMNEY,62.3,417655,2012
Arkansas,AR,6,BARACK OBAMA,36.9,394409,MITT ROMNEY,60.6,647744,2012
Tennessee,TN,11,BARACK OBAMA,39.1,960709,MITT ROMNEY,59.5,1462330,2012
South Carolina,SC,9,BARACK OBAMA,44.1,865941,MITT ROMNEY,54.6,1071645,2012
Oklahoma,OK,7,BARACK OBAMA,33.2,443547,MITT ROMNEY,66.8,891325,2012
Louisiana,LA,8,BARACK OBAMA,40.6,809141,MITT ROMNEY,57.8,1152262,2012
Mississippi,MS,6,BARACK OBAMA,43.8,562949,MITT ROMNEY,55.3,710746,2012
Alabama,AL,9,BARACK OBAMA,38.4,795696,MITT ROMNEY,60.5,1255925,2012
Georgia,GA,16,BARACK OBAMA,45.5,1773827,MITT ROMNEY,53.3,2078688,2012
Texas,TX,38,BARACK OBAMA,41.4,3308124,MITT ROMNEY,57.2,4569843,2012
Alaska,AK,3,BARACK OBAMA,40.8,122640,MITT ROMNEY,54.8,164676,2012
Montana,MT,3,BARACK OBAMA,41.7,201839,MITT ROMNEY,55.4,267928,2012
Idaho,ID,4,BARACK OBAMA,32.6,212787,MITT ROMNEY,64.5,420911,2012
Wyoming,WY,3,BARACK OBAMA,27.8,69286,MITT ROMNEY,68.6,170962,2012
Utah,UT,6,BARACK OBAMA,24.7,251813,MITT ROMNEY,72.8,740600,2012
Arizona,AZ,11,BARACK OBAMA,44.6,1025232,MITT ROMNEY,53.7,1233654,2012
Alaska,AK,3,HILARY CLINTON,37.7,"93,007",DONALD TRUMP,52.9,"130,415",2016
Alabama,AL,9,HILARY CLINTON,34.6,"718,084",DONALD TRUMP,62.9,"1,306,925",2016
Arkansas,AR,6,HILARY CLINTON,33.8,"378,729",DONALD TRUMP,60.6,"677,904",2016
Arizona,AZ,11,HILARY CLINTON,45.4,"933,655",DONALD TRUMP,49.6,"1,017,166",2016
California,CA,55,HILARY CLINTON,61.5,"5,589,936",DONALD TRUMP,33.2,"302,195",2016
Colorado,CO,9,HILARY CLINTON,47.2,"1,208,095",DONALD TRUMP,44.4,"1,136,354",2016
Connecticut,CT,7,HILARY CLINTON,53.9,"823,360",DONALD TRUMP,41.7,"637,919",2016
"Washington, D.C.",DC,3,HILARY CLINTON,90.5,"260,223",DONALD TRUMP,4,"11,553",2016
Delaware,DE,3,HILARY CLINTON,53.4,"235,581",DONALD TRUMP,41.9,"185,103",2016
Florida,FL,29,HILARY CLINTON,47.8,"4,485,745",DONALD TRUMP,49.1,"4,605,515",2016
Georgia,GA,16,HILARY CLINTON,45.6,"1,837,300",DONALD TRUMP,51.3,"2,068,623",2016
Hawaii,HI,4,HILARY CLINTON,62.3,"251,853",DONALD TRUMP,30.1,"121,648",2016
Iowa,IA,6,HILARY CLINTON,42.2,"650,790",DONALD TRUMP,51.8,"798,923",2016
Idaho,ID,4,HILARY CLINTON,27.6,"189,677",DONALD TRUMP,59.2,"407,199",2016
Illinois,IL,20,HILARY CLINTON,55.4,"2,977,498",DONALD TRUMP,39.4,"2,118,179",2016
Indiana,IN,11,HILARY CLINTON,37.9,"1,031,953",DONALD TRUMP,57.2,"1,556,200",2016
Kansas,KS,6,HILARY CLINTON,36.2,"414,788",DONALD TRUMP,57.2,"65,609",2016
Kentucky,KY,8,HILARY CLINTON,32.7,"628,834",DONALD TRUMP,62.5,"1,202,942",2016
Louisiana,LA,8,HILARY CLINTON,38.4,"779,535",DONALD TRUMP,58.1,"1,178,004",2016
Massachusetts,MA,11,HILARY CLINTON,60.8,"1,964,768",DONALD TRUMP,33.5,"1,083,069",2016
Maryland,MD,10,HILARY CLINTON,60.5,"149,951",DONALD TRUMP,35.3,"873,646",2016
Maine,ME,3,HILARY CLINTON,47.9,"354,873",DONALD TRUMP,45.2,"334,838",2016
Michigan,MI,16,HILARY CLINTON,47.3,"2,267,798",DONALD TRUMP,47.6,"2,279,221",2016
Minnesota,MN,10,HILARY CLINTON,46.9,"1,366,676",DONALD TRUMP,45.4,"1,322,891",2016
Missouri,MO,10,HILARY CLINTON,37.8,"1,054,889",DONALD TRUMP,56.9,"1,585,753",2016
Mississippi,MS,6,HILARY CLINTON,40.1,"462,001",DONALD TRUMP,58.3,"678,457",2016
Montana,MT,3,HILARY CLINTON,36,"174,521",DONALD TRUMP,56.5,"274,120",2016
North Carolina,NC,15,HILARY CLINTON,46.7,"2,162,074",DONALD TRUMP,50.5,"2,339,603",2016
North Dakota,ND,3,HILARY CLINTON,27.2,"93,526",DONALD TRUMP,63,"216,133",2016
Nebraska,NE,2,HILARY CLINTON,34,"273,858",DONALD TRUMP,60.3,"485,819",2016
New Hampshire,NH,4,HILARY CLINTON,47.6,"348,521",DONALD TRUMP,47.3,"345,789",2016
New Jersey,NJ,14,HILARY CLINTON,55,"2,021,756",DONALD TRUMP,41.8,"1,535,513",2016
New Mexico,NM,5,HILARY CLINTON,48.3,"380,724",DONALD TRUMP,40,"315,875",2016
Nevada,NV,6,HILARY CLINTON,47.9,"537,753",DONALD TRUMP,45.5,"511,319",2016
New York,NY,29,HILARY CLINTON,58.8,"4,143,874",DONALD TRUMP,37.5,"2,640,570",2016
Ohio,OH,18,HILARY CLINTON,43.5,"2,317,001",DONALD TRUMP,52.1,"2,771,984",2016
Oklahoma,OK,7,HILARY CLINTON,28.9,"419,788",DONALD TRUMP,65.3,"947,934",2016
Oregon,OR,7,HILARY CLINTON,51.7,"934,631",DONALD TRUMP,41.1,"742,506",2016
Pennsylvania,PA,20,HILARY CLINTON,47.6,"2,844,705",DONALD TRUMP,48.8,"2,912,941",2016
Rhode Island,RI,4,HILARY CLINTON,55.4,"249,902",DONALD TRUMP,39.8,"179,421",2016
South Carolina,SC,9,HILARY CLINTON,40.8,"849,469",DONALD TRUMP,54.9,"1,143,611",2016
South Dakota,SD,3,HILARY CLINTON,31.7,"117,442",DONALD TRUMP,61.5,"227,701",2016
Tennessee,TN,11,HILARY CLINTON,34.9,"867,110",DONALD TRUMP,61.1,"1,517,402",2016
Texas,TX,38,HILARY CLINTON,43.3,"3,867,816",DONALD TRUMP,52.4,"4,681,590",2016
Utah,UT,6,HILARY CLINTON,27.8,"237,241",DONALD TRUMP,46.6,"397,004",2016
Virginia,VA,13,HILARY CLINTON,49.9,"1,916,845",DONALD TRUMP,45,"1,731,156",2016
Vermont,VT,3,HILARY CLINTON,61.1,"178,117",DONALD TRUMP,32.6,"95,050",2016
Washington,WA,12,HILARY CLINTON,54.9,"1,364,934",DONALD TRUMP,38.3,"950,710",2016
Wisconsin,WI,10,HILARY CLINTON,46.9,"1,382,210",DONALD TRUMP,47.9,"1,409,467",2016
West Virginia,WV,5,HILARY CLINTON,26.5,"187,457",DONALD TRUMP,68.7,"486,198",2016
Wyoming,WY,3,HILARY CLINTON,22.5,"55,969",DONALD TRUMP,70.1,"174,248",2016